address,date_added,description,phone,price,seller,title
"Clarence Drive, Harrogate, North Yorkshire",Added on 11/05/2021,"A fantastic opportunity to acquire a beautiful first floor 3/4 double bedroomed apartment with two secure parking spaces and manicured shared garden, located in the ever popular Duchy area of Harrogate. No chain involved. This stunning apartment occupies the whole of the first floor of this Maj...",01423 429025,"£650,000","Hopkinsons, Harrogate",3 bedroom apartment for sale
"Mount Terrace, York, YO24",Added on 26/02/2021,Wonderful Character home on Mount Terrace an attractive and quiet street located in an excellent position just off The Mount.,01904 200057,"£650,000","Savills, York",3 bedroom end of terrace house for sale
"Heathfield, Adel, Leeds, LS16",Added on 02/11/2020,Purplebricks are delighted to bring to the market this substantial executive four bedroom detached family home. This stunning property is set behind wrought iron electric gates within this popular road in this highly sought after North Leeds residential area of Adel. The property has three recept...,0113 451 3335,"£650,000","Purplebricks, covering Leeds",4 bedroom detached house for sale
"16 Longside Lane, Bradford, West Yorkshire, BD7",Added on 01/05/2021,"Biscayne Residential is pleased to bring to the market this mixed use property, consisting of 1450 sqft of retail space on the ground floor with 15 ensuite bedrooms to the upper floors. Biscayne House Student Accommodation is located to the rear of The University of Bradford and on cam...",01274 399233,"£650,000","Biscayne Properties, Bradford",15 bedroom flat share for sale
"Priory Farm, Creykes Sidings, Rawcliffe Bridge, Goole, DN14 8PX",Added on 13/04/2021,"Priory Farm is a period residence offering a wealth of family accommodation. Located within a rural setting this substantial home perfectly blends versatility, character and charm and is suitable for those with equestrian needs enveloped in approximately 4.5 acres formal gardens and paddocks.",01757 820021,"£650,000","Hunters, Selby",5 bedroom detached house for sale
"Whin Hill Road, Bessacarr, Doncaster, DN4",Added on 19/02/2021,"3D Tour AvailableThe property is situated on the corner of two prominent roads (Bawtry Road and Whin Hill Road), and a short walk from Lakeside. Since we moved into the property we have renovated and modernised the house with: Garden, new boards and re-wiring, air conditioning, control ...",01302 960095,"£650,000","The Property Hive, Bessacarr",5 bedroom detached house for sale
"Paddock View, Cockshutts Lane, Oughtibridge, Sheffield",Added on 06/08/2020,"Offered for sale are three, four bedroomed new-build detached properties, situated within an exclusive development. These contemporary homes provide spacious accommodation over three floors, with a high specification and being ideally designed for 21st century living.",0114 467 1685,"£650,000","Blenheim Park Estates, Sheffield",4 bedroom detached house for sale
"Vale View, Ackworth, Pontefract, West Yorkshire",Added on 05/03/2021,"*VIEWINGS STILL ACCEPTED* The Express Estate Agency is proud to offer this Five Bedroom Detached House – all interest and OFFERS are INVITED. INTERNAL - Entrance Hallway - With stairs to the first floor, under stairs storage, double glazed composite...",03330 165458,"£650,000","Express Estate Agency, Nationwide",5 bedroom detached house for sale
"Blyth Road, Maltby, Rotherham",Reduced on 24/05/2021,William H Brown Maltby are proud to present to the market this well-presented TWO bedroom DETACHED bungalow with stunning views!! Sought after location & positioned on a rare elevated plot this property really offers more than what meets the eye!! Viewing Considered Essential!!,01709 230035,"£195,000","William H. Brown, Maltby",2 bedroom detached bungalow for sale
"Plot 2 Wetherby Road, Little Ribston, Wetherby LS22 4EP",Added on 05/02/2021,"ADDITIONAL 2 ACRES OF LAND ADJOINING, WITH THE OPTION TO PURCHASE AT AN ADDITIONAL COST. A truly stunning and contemporary new home located in one of the districts most sought after and peaceful villages. Bespoke design to finish and fittings is available for an early reservation.",01904 200124,"£650,000","Preston Baker, Land & New Homes",4 bedroom detached house for sale
"Albans Close, Bardsey, Leeds, LS17",Added on 20/04/2021,A simply wonderful detached family home which extends to approximately 2100 sqft and offers an impressive array of individual features and beautifully maintained gardens.,01937 358014,"£650,000","Furnell Residential, Leeds",3 bedroom detached house for sale
"Sunny Bank Woods, Batley",Added on 05/03/2021,"Tucked away in a most private location with no passing traffic and delightful far reaching views down a private lane which serves only 5 high end properties. Extending in total to 3240 square feet with up to 6 bedrooms and 4 reception rooms, luxury Villeroy & Boch bathrooms, spacious attract...",01484 977006,"£650,000","Yorkshire's Finest, Huddersfield",6 bedroom detached house for sale
"Park Street, Winterton, Scunthorpe, DN15",Added on 26/04/2021,"OFFERS INVITED BETWEEN £650,000 - £700,000 STANDING IN FIVE ACRES, THIS TRULY UNIQUE LISTED PROPERTY PROVIDES AN ENVIABLE LIFESTYLE, WITH VIEWS OVER FARMLAND AND LARGE PONY PADDOCKS MAKING IT SUITABLE FOR EQUESTRIAN USE",01482 750197,"£650,000","Beercocks, Willerby",3 bedroom detached house for sale
"Forge Cottage, High Hutton, Huttons Ambo, York, North Yorkshire, YO60 7HW",Added on 20/04/2021,"Forge Cottage is a beautiful cottage located in the idyllic village of Huttons Ambo. This deceptively spacious period home has been much improved by the current owners over the years, whilst still retaining a wealth of original features and charm. This peaceful village offers breath-taking views...",01653 511003,"£650,000","Willowgreen Estate Agents, Malton",4 bedroom cottage for sale
"Thorpe Underwood, York, YO26",Added on 27/05/2021,NEW - NO ONWARD CHAIN - A fabulous opportunity to purchase a unique riverside property occupying an outstanding setting in large private grounds with a wide frontage to the River Ouse enjoying both fishing and boating rights.,01423 429100,"£650,000","Carter Jonas, Harrogate",4 bedroom detached house for sale
"Church Street, Goldsborough, HG5",Reduced on 06/02/2020,Offered to the market for the first time in over 100 years is this sympathetically and skilfully converted four bedroom barn conversion.,01937 358014,"£650,000","Furnell Residential, Leeds",4 bedroom house for sale
"Long Crag View, Harrogate",Reduced on 06/05/2021,"An exceptionally rare opportunity to purchase this magnificent brick built, detached, family home, situated in a quiet cul-de-sac within this extremely popular residential development, on the edge of the Harrogate town centre. The property truly requires an internal inspection to appreci...",01423 429032,"£650,000","Nicholls Tyreman, Harrogate",4 bedroom detached house for sale
"Old Pond House, 390a Saddleworth Road, Greetland HX4 9NF",Added on 15/04/2021,"Occupying a premium plot on the outskirts of Greetland this large detached residence enjoys far-reaching countryside views across the valley. This individually designed property is an ideal family home with three reception rooms, a beautiful breakfast kitchen with adjacent utility room, plus t...",01422 757035,"£650,000","V G Estate Agent, Ripponden",3 bedroom detached house for sale
"Westercroft Lane, Northowram, Halifax",Reduced on 08/10/2020,"***RARE TO THE MARKET***BARN CONVERSION***STUNNING GARDENS***FOUR BEDROOM DETACHED*** HAMILTON BOWER are delighted to offer for sale this stunning and rare to the market, four double bedroom detached family home set in stunning grounds with a large paddock. Set off a private driveway in ...",01422 757007,"£650,000","Hamilton Bower, Northowram",4 bedroom detached house for sale
"Regent Parade, Harrogate",Added on 01/10/2020,"* 360 3D Virtual Walk-Through Tour * A stunning four-bedroomed double-fronted Grade II Listed Georgian town house offering beautifully presented accommodation. This individual property has the advantage of ample off-road parking for up to four vehicles, and a good-sized, private garden.
",01423 429051,"£650,000","Verity Frearson, Harrogate",4 bedroom semi-detached house for sale
"Field Head Lane, Birstall",Added on 29/09/2020,"Superb individually designed SEVEN BEDROOMED detached property. This spacious family home must be viewed internally to appreciate the size of the spacious accommodation on offer. Set in approx. 2/3 acre grounds with garage, ample parking and very generous sized gardens. Potential for verity of us...",01924 767150,"£650,000","Barkers Estate Agents, Birstall",7 bedroom detached house for sale
"Undercliffe, Pickering. YO18 7BB",Added on 20/08/2020,The Mill House has been upgraded to an extremely high specification and provides well designed and spacious accommodation. in addition to beautiful sitting room and spacious fitted dining kitchen both rooms having attractive individual feature painted slate fireplaces. A good sized property whi...,01751 631004,"£650,000","BoultonCooper, Pickering",4 bedroom house for sale
"North End, Raskelf",Reduced on 19/03/2021,"FOR SALE AS A WHOLE OR IN 2 LOTS. An attractive double fronted 3 bedroomed, detached Victorian family home offering significant scope to extend and update to individual requirements, set within mature gardens with an adjoining GRASS PADDOCK on which Planning Consent has been granted for the cons...",01347 973004,"£650,000","Williamsons, Easingwold",3 bedroom detached house for sale
"The Cottage, Trimmingham Lane, Trimmingham, Halifax, HX2 7JQ",Added on 22/04/2021,A rare opportunity has arisen to purchase The Cottage. A superb 5 bedroom detached period residence with 1 bed self-contained garden studio and private South Facing grounds. The property is situated within a highly sought-after and convenient location. In addition planning consent was obtai...,01422 757046,"£650,000","Charnock Bates, Halifax",5 bedroom detached house for sale
"Hatchell Drive, Doncaster, DN4",Added on 11/02/2021,"We are pleased to present to the market this executive family home set in a desirable area of Bessacarr. The property sits on a generous plot of land with plenty of space for the family to enjoy. Within close proximity to the property is Doncaster Golf Club, Yorkshire Wildlife Park, Robin Hood Airpo",0113 451 3230,"£650,000","Strike, Yorkshire",4 bedroom detached house for sale
"Royd Moor Road, Thurlstone, Sheffield",Added on 08/10/2020,A stunning barn conversion which has been sympathetically restored with exacting attention to detail resulting in spacious four bedroom accommodation displaying a wealth of charm and character; situated central to a delightful village on the edge of glorious open countryside.,0114 467 1554,"£650,000","Fine & Country, Sheffield",4 bedroom barn conversion for sale
"Southfield, Hessle",Reduced on 28/05/2021,"GUIDE PRICE £650,000 - £675,000 Beautiful Home on Southfield in Hessle with - Reception Hall, Lounge, Dining Room, Kitchen/Diner, Snug/Sitting Room, Sun Room/Utility Room, 5 Bedrooms, Family Bathroom & Cloakroom, Gardens, Garage & Off Street Parking - Viewers will not be disappointed! Book today!",01482 750065,"£650,000","William H. Brown, Willerby",5 bedroom semi-detached house for sale
